Codigo;Nombre:;Autor:;Tipo:;Anno:;Copias:;Editora:;Codigodewey:;Tutor:
542;Solucionario a la Fisica General de Sears-Zemansky   1;E. Panchi N.;;1989;;RODIN;;
543;Fundamentos de Acustica ;Kinsler;;1992;;LIMUSA;;
544;Fisica General;Francis W. y otros;;1967;;AGUILAR;;
1684;Colec. AUDITORIUM. DICCIO. DE LA MuSICA A-J T.1;Recopilacion;;2004;1;PLANETA;ISBN:84-08-46524-4;
1685;Colec. AUDITORIUM. DICCIO. DE LA MuSICA K-Z T.2;Recopilacion;;2004;1;PLANETA;ISBN:84-08-46525-2;
1686;Colec. AUDITORIUM. Cinco Sig. Musica Inmortal T.3;Recopilacion;;2004;1;PLANETA;ISBN:84-08-46522-8;
1695;Educacion Musical  Tercer Curso (Ciclo Basico);G. Mediavilla V.;;1980;2;;;
