CÓDIGO,NOMBRE,CREDITOS,TIPO
GER287,COMUNICACION ORGANIZACIONAL,4,BÁSICA
GER288,EMPRENDEDORES,4,BÁSICA
GER291,GESTION DE RR.HH.,4,BÁSICA
GER300,TALLER DE PROYECTOS CREATIVOS,4,BÁSICA
GER302,PLANIFICACION Y ADMINISTRACION TURISTICA,4,BÁSICA
GER303,PLANIFICACION DE TOURS,4,BÁSICA
GER306,DESTINO TURISTICO EN ECUADOR,4,BÁSICA
GER307,SISTEMAS DE TRANSPORTE TURISTICO,4,BÁSICA
GER308,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,4,BÁSICA
GER310,MANEJO DE PROYECTOS,4,BÁSICA
GER315,NORMAS DE VALORACION ADUANERA,4,ESPECIALIZACIÓN
GER354,DISTRIBUCION DE RUTAS Y CIRCUITOS TURISTICOS,4,BÁSICA
GER355,GERENCIA ESTRATEGICA,4,BÁSICA
GER356,ESTRATEGIAS DE AGROINDUSTRIALIZACIÓN,4,BÁSICA
GER357,PLANEACION ESTRATEGICA DE RR.PP,4,BÁSICA
GER358,GERENCIA PRODUCCIÓN AGRI & PECUARIA,4,ESPECIALIZACIÓN
GER371,NEGOCIACIONES INTERNACIONALES,4,BÁSICA
GER380,PLANIFICACION Y EVALUACION DE PROYECTOS,4,BÁSICA
GER381,EVALUACION Y DESARROLLO DE PROYECTOS I,4,BÁSICA
GER386,"PLANIFICACION, EVALUACION & DESARROLLO  DE PROYECTOS",4,BÁSICA
GER387,PROYECTOS EMPRESAS  SEGUROS,4,ESPECIALIZACIÓN
GER388,ADMINISTRACION DE OPERACIONES,4,BÁSICA
GER389,ANALISIS Y PRACTICA DE CASOS EMPRESARIAL,4,BÁSICA
GER390,TRANSPORTE INTERNACIONAL,4,BÁSICA
GER392,TRANSPORTE TURISTICO,4,BÁSICA
GER411,ADMINISTRACION DE RECURSOS NATURALES Y MEDIOAMBIENTALES,4,BÁSICA
GER425,PLANIFICACION TERRITORIAL,4,ESPECIALIZACIÓN
GER426,PLANIFICACION Y DESARROLLO TURISTICO SOSTENIBLE NACIONAL Y REGIONAL,4,BÁSICA
GER428,PERSONAL AND ORGANIZATIONAL LEADERSHIP,4,BÁSICA
GER429,IMAGEN CORPORATIVA,3,BÁSICA
GRA501,SERIGRAFÍA,3,BÁSICA
GRADO1,IMAGEN GERENCIAL,3,ESPECIALIZACIÓN
GRADO2,ASESORIA,1,ESPECIALIZACIÓN
GRADO3,DESARROLLO DEL TRABAJO DE GRADO,4,ESPECIALIZACIÓN
GRADO4,ORALIDAD Y DOMINIO ESCÉNICO,4,ESPECIALIZACIÓN
GRV233,INVESTIGACION DE MERCADOS,5,ESPECIALIZACIÓN
HIS303,HISTORIA DEL DISEÑO,3,BÁSICA
HTL101,SUPERVISIÓN HOTELERA,4,ESPECIALIZACIÓN
HTL102,AMA DE LLAVES/HOUSE KEEPING,4,ESPECIALIZACIÓN
HTL111,OPERACION HOTELERA,4,BÁSICA
HTL140,ANIMACION Y RECREACION HOTELERA,4,BÁSICA
HTL151,SERVICIOS HOTELEROS,4,BÁSICA
HTL200,SEGURIDAD INDUSTRIAL HOTELERA,4,ESPECIALIZACIÓN
HTL201,CONTABILIDAD HOTELERA,4,ESPECIALIZACIÓN
HTL211,OPERACION TURISTICA,4,BÁSICA
HTL221,COCTELERÍA,4,BÁSICA
HTL342,FRONT OFFICE,4,BÁSICA
HTL343,HOUSE KEEPING/AMA DE LLAVES,4,ESPECIALIZACIÓN
HTL350,PRODUCCIÓN Y MANIPULACION  DE ALIMENTOS,4,ESPECIALIZACIÓN
HTL351,PASTELERIA Y REPOSTERIA,4,ESPECIALIZACIÓN
HTL352,PANADERIA,4,ESPECIALIZACIÓN
HTL353,PRODUCCIÓN Y DECORACIÓN DE CAKES,5,ESPECIALIZACIÓN
HTL358,ADMINISTRACION DE ALIMENTOS Y BEBIDAS,4,BÁSICA
HTL360,DISEÑO Y DECORACION DE BARES Y RESTAURANTE,4,BÁSICA
HTL368,DIRECCION Y ADMINISTRACIÓN HOTELERA,4,BÁSICA
HTL378,GERENCIA ESTRATEGIA HOTELERA,4,BÁSICA
HTL379,TECNICAS HOTELERAS PARA OPERADORAS,3,ESPECIALIZACIÓN
HTL398,PASANTIA HOTELERA,4,BÁSICA
HUM106,CIVILIZACION HUMANA  I,4,BÁSICA
HUM151,PENSAMIENTO CRITICO I,4,BÁSICA
HUM152,PENSAMIENTO CRÍTICO II,4,BÁSICA
HUM153,PENSAMIENTO CRITICO III,4,ESPECIALIZACIÓN
HUM154,CREATIVIDAD E INNOVACIÓN,4,ESPECIALIZACIÓN
HUM206,CIVILIZACION MUNDIAL II,4,BÁSICA
HUM251,PENSAMIENTO CRITICO II,4,BÁSICA
ING001,INGLES PRE-BASICO,4,BÁSICA
ING100,PRE-BEGINNERS,4,BÁSICA
ING111,LOW BEGINNERS,4,BÁSICA
ING112,LOW BEGINNERS B,4,BÁSICA
ING113,BEGINNERS,4,BÁSICA
ING114,BEGINNERS B,4,BÁSICA
ING115,UPPER BEGINNERS,4,BÁSICA
ING116,HIGH BEGINNERS B,4,BÁSICA
ING200,INGLES LICENCIATURA,4,BÁSICA
ING214,PRE INTERMEDIATE,4,BÁSICA
ING215,LOW INTERMEDIATE B,4,BÁSICA
ING216,INTERMEDIATE,4,BÁSICA
ING217,INTERMEDIATE B,4,BÁSICA
ING218,UPPER INTERMEDIATE,4,BÁSICA
ING219,HIGH INTERMEDIATE B,4,BÁSICA
ING300,INGLES,4,BÁSICA
ING317,ADVANCED I,4,BÁSICA
ING318,LOW ADVANCED B,4,BÁSICA
ING319,ADVANCED II,4,BÁSICA
ING320,ADVANCED B,4,BÁSICA
ING321,ADVANCED III,4,BÁSICA
ING325,C. RELATION MANAGEMENT,4,BÁSICA
ING328,BELOW THE LINE,4,BÁSICA
ING400,ADVANCED,4,BÁSICA
ING410,NAVEGANDO EN INTERNET,4,BÁSICA
ING411,INTERNATIONAL PUBLIC LAW /DERECHO PUBLICO INTERNACIONAL,4,BÁSICA
ING412,URBAN MANAGEMENT,4,BÁSICA
ING415,BUSINESS WRITING / REDACCION COMERCIAL,4,BÁSICA
ING417,INTERNATIONAL BUSINESS COMUNICATION / COMUNICACION DE NEGOCIOS INTERNACIONALES,4,BÁSICA
ING418,BUSINESS ENGLISH I,4,BÁSICA
ING419,BUSINESS SPEECH,4,BÁSICA
ING420,INTERNATIONAL TOURISM,4,BÁSICA
ING421,INTERNATIONAL NEGOTIATIONS AND MEDIATION / NEGOCIACIONES Y MEDIACIONES INTERNACIONALES,4,BÁSICA
ING425,COMMUNICATION & GLOBAL ORGANIZATION  / COMUNICACION Y ORGANIZACIONAL GLOBAL,4,BÁSICA
ING427,PRODUCT LAUNCHING,4,BÁSICA
ING430,ENGLISH FOR MARKETING,4,BÁSICA
ING435,INTERNATIONAL BUSINESS ISSUES,4,BÁSICA
ING440,ENGLISH FOR INTERNATIONAL BUSINESS,4,BÁSICA
ING441,MANAGEMENT,4,BÁSICA
ING450,SPEECH,4,BÁSICA
ING451,BUSINESS PRACTICE,4,BÁSICA
ING452,E-BUSINESS,4,ESPECIALIZACIÓN
ING455,WORLD POLITICIS AND ECONOMY,4,BÁSICA
ING461,INTRODUCTION AMERICAN LAW,4,BÁSICA
ING462,EXCURSION PLANNING,4,BÁSICA
ING480,INTERCULTURAL COMMUNICATION,4,BÁSICA
ING481,MARKETING DIAGNOSIS,4,BÁSICA
ING482,CONSUMER INSIGHTS,4,BÁSICA
ING483,MARKTING DIAGNOSIS,4,BÁSICA
ING485,CORRESPONDENCE APPLICATIONS,4,BÁSICA
ING486,PREPARATION FOR THE TOEFL,4,BÁSICA
ING487,TOEFL - LAB. I,4,BÁSICA
ING488,TOEFL - LAB. II,4,BÁSICA
ING490,FIST LEVEL SUPERVISION,4,BÁSICA
ING495,TOPICS-INTERNET,4,BÁSICA
ING500,INTERNAL TOEFL TES,4,ESPECIALIZACIÓN
INGPH1,INGLES PHASE 1,4,BÁSICA
INGPH2,INGLES PHASE 2,4,BÁSICA
INGPH3,INGLES PHASE 3,4,BÁSICA
INGPH4,INGLES PHASE 4,4,BÁSICA
INGPH5,INGLES PHASE 5,4,BÁSICA
INGTE1,INGLES TECNICO 1,4,BÁSICA
INGTE2,INGLES TECNICO 2,4,BÁSICA
INGTE3,INGLES TECNICO 3,4,BÁSICA
INGTE4,INGLES TECNICO 4,4,BÁSICA
INGTEC,INGLES TECNICO,4,BÁSICA
INT099,INTRODUCCION DEL ARTE,4,PRE
INTEC2,INGLÉS TÉCNICO II,4,ESPECIALIZACIÓN
IPP017,IMAGEN Y PERFIL PROFESIONAL,1,BÁSICA
LEN100,LENGUAJE Y COMUNICACION,4,BÁSICA
LNG097,ENGLISH STRUCTURE,4,BÁSICA
LNG098,ENGLISH ACCURACY & FLUENCY,4,BÁSICA
LNG100,PRINCIPLES OF WRITING,4,BÁSICA
LNG101,ENGLISH COMPOSITION I,4,BÁSICA
MAT010,PRE - MATEMATICAS,1,BÁSICA
MAT103,MATEMATICAS APLICADA AL TURISMO,4,BÁSICA
MAT141,MATEMATICAS PARA INFORMATICA,4,BÁSICA
MAT151,INTRODUCCION A METODOS CUNATITATIVOS,4,BÁSICA
MAT156,ESTADISTICA,4,BÁSICA
MAT157,MÉTODOS ESTADISTICOS APLIC. CALIDAD,4,ESPECIALIZACIÓN
MAT160,INTRODUCCIÓN CÁLCULOS ACTUARIALES,4,ESPECIALIZACIÓN
MAT161,CALCULO I,4,BÁSICA
MAT162,CALCULO 2,4,ESPECIALIZACIÓN
MAT220,MATEMATICA,4,BÁSICA
MAT235,ESTADISTICA APLICADA AL TURISMO,4,BÁSICA
MAT236,ESTADISTICA II,4,BÁSICA
MAVES,MAQUILLAJE Y VESTUARIO,4,BÁSICA
MED100,PRIMEROS AUXILIOS,4,ESPECIALIZACIÓN
MED111,PRIMEROS AUXILIOS,4,ESPECIALIZACIÓN
MGEOB,METODOLOGIA GENERAL Y OBJETIVA,4,BÁSICA
MKT100,PRODUCTO,4,ESPECIALIZACIÓN
MKT101,SERVICIOS  AL CLIENTE,4,BÁSICA
MKT102,MARKETING BASICO,4,BÁSICA
MKT103,MATEMATICAS APLICADA AL TURISMO,4,BÁSICA
MKT105,MARCAS Y PATENTES,4,BÁSICA
MKT110,E-MARKETING,4,ESPECIALIZACIÓN
MKT111,FUNDAMENTOS DE MARKETING,4,BÁSICA
MKT112,FUNDAMENTO DE VENTAS,4,BÁSICA
MKT113,TÉCNICA DE VENTAS 1,4,BÁSICA
MKT114,TÉCNICAS DE VENTAS 2,4,ESPECIALIZACIÓN
MKT116,GERENCIA DE VENTAS,4,BÁSICA
MKT150,PRODUCTO Y PRECIO,4,BÁSICA
MKT151,POLÍTICAS DE PRODUCTOS Y PRECIOS,4,BÁSICA
MKT161,COMPORTAMIENTO DEL CONSUMIDOR,4,BÁSICA
MKT171,ESTRATEGIAS ADMINISTRATIVAS,4,BÁSICA
MKT201,POLITICA DE PRODUCTO,4,BÁSICA
MKT208,"ILUSTRACION, BOCETOS, MARCAS Y LOGOTIPOS",4,BÁSICA
MKT211,PROMOCION Y DISTRIBUCION,4,BÁSICA
MKT212,POLÍTICAS DE DISTRIBUCION,4,BÁSICA
MKT213,CANALES DE DISTRIBUCIÓN INTERNACIONAL,4,ESPECIALIZACIÓN
MKT214,GESTIÓN DE EQUIPOS DE VENTAS,4,BÁSICA
MKT221,VENTAS PERSONALES,4,BÁSICA
MKT231,INVESTIGACION DE MERCADOS,4,BÁSICA
MKT232,METODOS DE INVESTIGACION DE MERCADO,4,BÁSICA
MKT245,COMERCIALIZACION,4,BÁSICA
MKT248,PSICOLOGIA APLICADA A LAS  VENTAS,5,ESPECIALIZACIÓN
MKT251,ADMINISTRACION DE VENTAS,4,BÁSICA
MKT254,MERCHANDISING,4,BÁSICA
MKT255,TÁCTICAS PROMOCIONALES Y MERCHANDISING,4,BÁSICA
MKT256,MERCADOTECNIA  PROD. AGROPECUARIOS,4,ESPECIALIZACIÓN
MKT258,FORMULACION DEL PROGRAMA DE VENTAS,4,BÁSICA
MKT259,POLITICAS DE DISTRIBUCIÓN Y TRADE MARKETING,4,BÁSICA
MKT260,POLITICA DE PROMOCION,4,BÁSICA
MKT261,MARKETING ESTRATEGICO,4,BÁSICA
MKT262,MARKETING ESTRATEGICO PARA NEGOCIOS,4,BÁSICA
MKT263,MARKETING DE CIUDADES,4,ESPECIALIZACIÓN
MKT264,MARKETING MIX Y PROMOCIÓN DE VENTAS,4,ESPECIALIZACIÓN
MKT266,MARKETING INTERNACIONAL,4,BÁSICA
MKT267,MARKETING INDUSTRIAL,4,ESPECIALIZACIÓN
MKT268,MARKETING RELACIONAL,4,ESPECIALIZACIÓN
MKT269,MARKETING HOTELERO,4,ESPECIALIZACIÓN
MKT270,SICOLOGIA DE LA COMUNICACION,4,BÁSICA
MKT271,PLAN DE MARKETING,4,BÁSICA
MKT272,PLANIFICACIÓN ESTRATÉGICA,4,BÁSICA
MKT273,ESTRATEGIA PUBLICITARIA,4,BÁSICA
MKT274,COMUNICACIÓN APLICADA,4,BÁSICA
MKT281,COMUNICACIONES INTEGRADAS AL MARKETING,4,BÁSICA
MKT282,TELECOMUNICACIONES AERONAUTICAS,4,BÁSICA
MKT283,TELEMARKETING,4,ESPECIALIZACIÓN
MKT285,PUBLICIDAD,4,BÁSICA
MKT298,TOPICOS EN MARKETING I,4,BÁSICA
MKT299,TALLER DE TÉCNICAS APLICADAS A LAS VENTAS,4,BÁSICA
MKT300,ESTRATEGIAS DE MARKETING Y BENCHMARKING,4,BÁSICA
MKT301,SEGMENTACION,4,BÁSICA
MKT302,DISTRIBUCION LOGISTICA,4,BÁSICA
MKT304,MARKETING DE SERVICIO,4,BÁSICA
MKT305,ANALISIS DEL MARCADO INTERNACIONAL,4,BÁSICA
MKT306,SEGMENTACION DE MERCADOS Y TERRITORIO DE VENTAS,4,BÁSICA
MKT307,GERENCIA DE MARCA,4,BÁSICA
MKT309,VENTAS AL POR MAYOR Y MENOR,4,BÁSICA
MKT310,VENTAS POR MENOR,4,BÁSICA
MKT311,VENTAS DE SERVICIOS,4,ESPECIALIZACIÓN
MKT312,ANALISIS DEL ENTORNO ECONOMICO Y POLITIO,4,BÁSICA
MKT313,MANEJO DE TIEMPO Y TERRITORIO,4,BÁSICA
MKT321,PLANEACION DE MEDIOS,4,BÁSICA
MKT322,PLANEACION ESTRATEGIA DE MEDIOS,4,BÁSICA
MKT323,CAMPAÑA DE PUBLICIDAD,4,ESPECIALIZACIÓN
MKT325,LOGISTICA APLICADA A NEGOCIOS INTERNACIONAL,4,BÁSICA
MKT326,"LOGÍSTICA DE ENVASES, EMBALAJES& MERCADERÍAS PELIGROSA",4,ESPECIALIZACIÓN
MKT335,MARKETING Y SERVICIOS BANCARIOS Y FINANCIEROS,4,BÁSICA
MKT350,PRODUCTOS Y ESTRATEGIA DE PRECIOS APLICADA  AL TURISMO,4,BÁSICA
MKT351,COMERCIO INTERNACIONAL,4,BÁSICA
MKT352,COMPETITIVIDAD INTERNAC. AGRONEG,4,ESPECIALIZACIÓN
MKT353,LOGISTICA  APLIC.A NEG. INTERNACIONALES,4,BÁSICA
MKT354,ANALISIS DE LA RUTA CRITICA PARA LA FUERZA DE VENTAS,4,BÁSICA
MKT355,LA MEZCLA DE COMUNICACION (MARKETING MIX) Y LA PROMOCION DE VENTAS,4,BÁSICA
MKT356,GERENCIA DE  MARKETING,4,BÁSICA
MKT358,MARKETING POLITICO,4,BÁSICA
MKT359,PROMOCION DE EXPORTACIONES,4,BÁSICA
MKT360,MARKETING DE EXPORTACION,4,BÁSICA
MKT361,DESARROLLO EXPORTACIONES AGROPECUARIAS,4,ESPECIALIZACIÓN
MKT362,COMERCIALIZACION DE MODAS,4,BÁSICA
MKT363,COMERCIALIZACION DE PRODUCTOS MASIVOS,4,BÁSICA
MKT364,COMERCIALIZACION DE PRODUCTOS INDUSTRIALES,4,BÁSICA
MKT365,COMUNICACION EN VENTAS,4,ESPECIALIZACIÓN
MKT366,MARKETING DIRECTO,4,BÁSICA
MKT367,COMERCIALIZACION DE ALIMENTOS,4,BÁSICA
MKT368,EL CONTROL DE RESULTADOS,4,BÁSICA
MKT372,FRANQUICIAS,4,BÁSICA
MKT375,DIRECCION DE CUENTAS,4,ESPECIALIZACIÓN
MKT376,GERENCIA CUENTAS CLAVES,4,ESPECIALIZACIÓN
MKT377,PROMOCION DE VENTAS,4,BÁSICA
MKT378,COMERCIALIZACION MULTINACIONAL,4,BÁSICA
MKT379,SISTEMAS CALIDAD PARA LA EXPORTACIÓN,4,ESPECIALIZACIÓN
MKT381,SEMINARIO EN LA GERENCIA DE VENTAS,4,BÁSICA
MKT391,COMERCIO ELECTRONICO,4,BÁSICA
MKT393,CAMPAÑA PUBLICITARIA EN INTERNET 1,4,ESPECIALIZACIÓN
MKT394,CAMPAÑA PUBLICITARIA EN INTERNET 2,4,BÁSICA
MKT398,TOPICOS EN MARKETING II,4,BÁSICA
MKT399,PRACTICA AVANZADA EN VENTAS,4,BÁSICA
MKT427,PRODUCT LAUNCHING,4,BÁSICA
MKT428,INNOVATION:THE KEY TO SUCCESS,4,BÁSICA
PBA106,PRE BALET I,4,BÁSICA
PBA107,PRE BALLET II,4,BÁSICA
PED,PEDAGOGIA,4,BÁSICA
PR,PRE BEGINNERS,3,BÁSICA
PRE111,LOW BEGINNERS,1,BÁSICA
PRE113,PRE BEGINNERS,1,PRE
PRE115,PRE HIGN BEGINNERS,1,PRE
PUB104,TALLER DE PUBLICIDAD,4,BÁSICA
PUB151,FUNDAMENTOS CREATIVOS,4,BÁSICA
PUB152,FUNDAMENTOS DE PUBLICIDAD,4,BÁSICA
PUB153,TECNICAS PUBLICITARIAS I,4,BÁSICA
PUB210,MEDIOS Y PRENSA,4,BÁSICA
PUB211,MEDIOS PUBLICITARIOS,4,BÁSICA
PUB212,MARKETIN DE EVENTOS Y RELACIONES PUBLICAS,4,BÁSICA
PUB254,TECNICAS PUBLICITARIAS II,4,ESPECIALIZACIÓN
PUB313,IMAGEN CORPORATIVA  RR.PP.I,4,BÁSICA
PUB316,RELACIONES PÚBLICAS (MANEJO DE CRISIS),4,ESPECIALIZACIÓN
RGL100,REALIZACIÓN DE GUIONES Y LIBRETOS,4,BÁSICA
RHUVA,RELACIONES HUMANAS Y VALORES,4,BÁSICA
SEM302,ANIMADORES PARA T.V,4,TALLER
SEM303,ILUMINACION Y CAMARA,4,BÁSICA
SEM304,PRACTICAS ESCENICAS CON CAMARA,4,BÁSICA
SSA203,MANEJO DE VIDEOS,4,ESPECIALIZACIÓN
SSC101,HISTORIA DE LA CULTURA NACIONAL I,4,ESPECIALIZACIÓN
SSC102,GEOGRAFIA TURISTICA-ECONOMICA DEL ECUADOR,4,BÁSICA
SSC150,LIQUIDACIÓN RECLAMOS,4,ESPECIALIZACIÓN
SSC151,PROBLEMAS SOCIOECONOMICOS,4,BÁSICA
SSC152,PROBLEMAS SOCIOECONOMICOS II,4,BÁSICA
SSC202,SOCIOLOGÍA RURAL,4,ESPECIALIZACIÓN
SSC203,SOCIOECOMIA ECUATORIANA,4,ESPECIALIZACIÓN
SSC204,HISTORIA DE LA CULTURA ECUATORIANA,4,BÁSICA
SSC207,COMPORTAMIENTO Y CULTURA EUROPEA,3,ESPECIALIZACIÓN
SSC208,COMPORTAMIENTO CULTURA ASIÁTICA Y AMERICANA,3,ESPECIALIZACIÓN
SSC243,METODOLOGIA DE INVESTIGACION TURISTICA,4,BÁSICA
SSC244,METODOLOGIA DE LA INVESTIGACION,4,BÁSICA
SSC246,INVESTIGACIÓN DE LA COMUNICACIÓN,4,BÁSICA
SSC253,INTRODUCCIÓN A LOS SEGUROS,4,BÁSICA
SSC302,MARCO LÓGICO,4,BÁSICA
SSC303,NEGOCIOS ADMINISTRACIÓN RRHH 1,4,ESPECIALIZACIÓN
SSC304,TÉCNICAS DE NEGOCIACIÓN,4,BÁSICA
SSC351,INTEGRACION Y COOPERACION REGIONAL,4,BÁSICA
SSC352,SEGUROS Y TRANSPORTES NACIONALES,4,BÁSICA
SSC354,SEGUROS DE PERSONAS,4,ESPECIALIZACIÓN
SSC355,SEGUROS PATRIMONIALES I,4,ESPECIALIZACIÓN
SSC356,SEGUROS PATRIMONIALES II,4,ESPECIALIZACIÓN
SSC357,INVESTIGACIÓN OPERATIVA DE SEGUROS,4,ESPECIALIZACIÓN
SSC358,REASEGUROS,4,ESPECIALIZACIÓN
SSC359,SEGURIDAD INDUSTRIAL,4,ESPECIALIZACIÓN
TAA111,APRECIACION DEL ARTE (TALLERES),4,TALLER
TAR101,BAILE  (DANZA),4,BÁSICA
TAR102,ARTES PLASTICAS(DIBUJO),3,BÁSICA
TAR103,ARTES GRAFICAS(PINTURA),4,TALLER
TAR104,MUSICA (GRUPO MUSICAL),4,BÁSICA
TAR105,MUSICA(INSTRUMENTOS MUSICALES),4,BÁSICA
TAR106,TEATRO,4,BÁSICA
TAR107,SEGURIDAD CIVIL,4,BÁSICA
TAR108,TÉCNICAS DE MOTIVACION GRUPAL,4,BÁSICA
TAR109,LENGUAJE PORTUGUES,4,BÁSICA
TAR112,PRODUCCION EVENTOS,4,BÁSICA
TAR113,MODA,4,BÁSICA
TAR115,EDICION DIGITAL,4,BÁSICA
TAR116,DIBUJOS ANIMADOS,4,BÁSICA
TAR117,COMO HACER UNA SILLA,4,BÁSICA
TAR118,TÉCNICAS DE ESTAMPADOS-SERIGRAFÍAS-CAMISETAS,4,TALLER
TAR119,TANGO,4,TALLER
TAR120,DISEÑO PUBLICITARIO (TALLER),4,TALLER
TAR122,TIPOGRAFIA,4,ESPECIALIZACIÓN
TAR125,ACUARELA Y TEMPERA,4,BÁSICA
TART11,BAILE,4,BÁSICA
TDV113,DICCION Y VOCALIZACION  (TALLERES),4,BÁSICA
TDV114,"DICCIÓN, VOCALIZACIÓN Y DOMINIO ESCÉNICO",4,ESPECIALIZACIÓN
TER100,TRANSITO AEREO Y TORRE DE CONTROL,4,BÁSICA
TER101,"SEGURIDAD DE VUELOS.PESO, CARGA Y BALANCE",4,ESPECIALIZACIÓN
TER102,TERMINALES TURISTICOS MUNDIALES,4,ESPECIALIZACIÓN
TER103,PRACTICA TEORIA DE AZAFATAS Y SOBRECARGO,4,ESPECIALIZACIÓN
TER104,JEFATURA DE ESTACIÓN DE TERMINALES TURÍSTICOS,4,ESPECIALIZACIÓN
TER106,SALVAMENTO Y EXTINCIÓN DE INCENDIO,4,ESPECIALIZACIÓN
TGE109,TALLER DE GEOMOLOGIA DE JOYAS,4,BÁSICA
TGI,GYM,4,TALLER
TGI110,GYM,4,BÁSICA
THA112,HISTORIA DEL ARTE(TALLERES),4,TALLER
TUR100,PRE-HISTORIA Y GEO. DEL ECUADOR,1,BÁSICA
TUR101,LEGISLACION TURISTICA,4,BÁSICA
TUR102,HISTORIA Y GEOGRAFIA DEL ECUADOR,4,BÁSICA
TUR103,LEGISLACION TURISTICA II,4,BÁSICA
TUR121,AGENCIA Y CONTRATACION DE SERVICIOS,4,BÁSICA
TUR137,MERCANCIAS PELIGROSAS,4,BÁSICA
TUR138,SEGURIDAD DE TERMINALES,4,ESPECIALIZACIÓN
TUR139,MANEJO DE RIESGO Y SEGURIDAD,4,ESPECIALIZACIÓN
TUR151,HISTORIA Y GEOGRAFIA MUNDIAL,4,BÁSICA
TUR153,DESTINOS Y PROGRAMACION TURISTICA INTERN,4,BÁSICA
TUR154,RUTAS E ITINERARIOS NACIONAL E INTERNACIONAL,4,ESPECIALIZACIÓN
TUR161,TEORIA Y TECNICA DEL TURISMO,4,BÁSICA
TUR171,GESTION HOTELERA,4,BÁSICA
TUR181,GESTION DE AGENCIA DE VIAJES,4,BÁSICA
TUR182,SERVICIOS NAUTICOS -CRUCEROS,4,ESPECIALIZACIÓN
TUR196,DEPORTES EXTREMOS,4,ESPECIALIZACIÓN
TUR211,TRAFICO AEREO,4,BÁSICA
TUR214,ATRACTIVOS TURISTICOS MUNDIALES,4,ESPECIALIZACIÓN
TUR215,AGENCIA DE TURISMO Y CONTRATACION DE SERVICIOS,4,BÁSICA
TUR218,RECURSOS HUMANOS APLICADO AL TURISMO,4,BÁSICA
TUR221,TEORIA Y TECNICA DEL TURISMO I,4,BÁSICA
TUR222,TECNICAS Y TEORIA DE TURISMO II,3,ESPECIALIZACIÓN
TUR225,AMADEUS I,4,BÁSICA
TUR226,AMADEUS II,4,BÁSICA
TUR229,PATRIMONIO CULTURAL,4,BÁSICA
TUR231,MARKETING TURISTICO,4,BÁSICA
TUR236,SITIOS ARQUEOLOGICOS,4,BÁSICA
TUR241,PROTOCOLO Y ETIQUETA,4,BÁSICA
TUR245,METODOLOGIA DE LA INVESTIGACION TURISTICA,4,BÁSICA
TUR246,TÉCNICAS DE GUIANZA,4,ESPECIALIZACIÓN
TUR251,MARKETING TURISTICO,4,BÁSICA
TUR261,TRAFICO AEREO II,4,BÁSICA
TUR277,SUSTAINABLE ECO-TOURISM,4,BÁSICA
TUR298,PASANTIA AEREA,4,BÁSICA
TUR299,PSICOLOGÍA DEL TURISTA,4,ESPECIALIZACIÓN
TUR300,TURISMO INTERNACIONAL,4,BÁSICA
TUR301,LEGISLACION TURISTICA Y AMBIENTAL,4,BÁSICA
TUR302,ADMINISTRACION TURISTICA,4,BÁSICA
TUR310,TURISMO DE CONGRESOS Y CONVENSIONES,4,ESPECIALIZACIÓN
TUR311,"ORGANIZACION DE EVENTOS, GRUPOS Y SEMINARIOS",4,BÁSICA
TUR312,ORGANIZACIÓN DE EVENTOS,4,ESPECIALIZACIÓN
TUR313,"PROMOCIÓN, COMUNICACIÓN Y FORMATO  DE EVENTOS",3,ESPECIALIZACIÓN
TUR314,GESTION DE PARQUE TEMATICOS Y OFERTA COMPLEMENTARIA,4,BÁSICA
TUR329,GESTIÓN Y CONTROL DE PROYECTOS,4,ESPECIALIZACIÓN
TUR330,PROYECTOS TURISTICOS,4,BÁSICA
TUR331,TALLER DE PROYECTOS TURISTICOS,4,BÁSICA
TUR335,INTRODUCCION A LA TECNOLOGIA CULINARIA,4,BÁSICA
TUR340,PROYECTOS TURISTICOS II,4,BÁSICA
TUR341,NUTRICION Y SALUD,4,BÁSICA
TUR351,TURISMO INTERNACIONAL II,4,BÁSICA
TUR352,AGROTURISMO Y ECOTURISMO,4,ESPECIALIZACIÓN
TUR353,TURISMO DE AGROTURISMO ECOTURISMO,4,BÁSICA
TUR355,PROYECTOS TURISTICOS II,4,BÁSICA
TUR356,DESARROLLO DE PRODUCTOS TURISTICO,4,ESPECIALIZACIÓN
TUR401,RDAC  OPERACIONES,4,ESPECIALIZACIÓN
TUR415,WOLD EVENTS,4,BÁSICA
UCM403,GÉNERO Y COMUNICACIÓN,3,ESPECIALIZACIÓN
